epsilon,train_sample_robustness_0masks,train_sample_robustness_10masks,train_sample_robustness_30masks,trivial_nb_0masks,trivial_nb_10masks,trivial_nb_30masks
0.902,0.15290045835970073,0.15290045835970073,0.15290045835970073,0,0,0
0.904,0.14735443180068172,0.14735443180068172,0.14735443180068172,0,0,0
0.906,0.1415407388469355,0.1415407388469355,0.1415407388469355,0,0,0
0.908,0.1355129127774075,0.1355129127774075,0.1355129127774075,0,0,0
0.91,0.12921741514558255,0.12921741514558255,0.12921741514558255,0,0,0
0.912,0.1226114365281175,0.1226114365281175,0.1226114365281175,0,0,0
0.914,0.11568425823697978,0.11568425823697978,0.11568425823697978,0,0,0
0.916,0.10847869486308229,0.10847869486308229,0.10847869486308229,0,0,0
0.918,0.10088771363433355,0.10088771363433355,0.10088771363433355,0,0,0
0.92,0.09293268435519984,0.09293268435519984,0.09293268435519984,0,0,0
0.922,0.0845494174627323,0.0845494174627323,0.0845494174627323,0,0,0
0.924,0.07574856924093433,0.07574856924093433,0.07574856924093433,0,0,0
0.926,0.06644451791836166,0.06644451791836166,0.06644451791836166,0,0,0
0.928,0.05663726866258404,0.05663726866258404,0.05663726866258404,0,0,0
0.93,0.046273265281565334,0.046273265281565334,0.046273265281565334,0,0,0
0.932,0.036756253402739004,0.036756253402739004,0.036756253402739004,0,0,0
0.934,0.032729417456866694,0.032729417456866694,0.032729417456866694,0,0,0
0.936,0.031562381651225366,0.031562381651225366,0.031562381651225366,0,0,0
0.938,0.030395334416658766,0.030395334416658766,0.030395334416658766,0,0,0
0.94,0.029217602279859024,0.029217602279859024,0.029217602279859024,0,0,0
0.942,0.02803987014305928,0.02803987014305928,0.02803987014305928,0,0,0
0.944,0.02684072298706854,0.02684072298706854,0.02684072298706854,0,0,0
0.946,0.025641586110977176,0.025641586110977176,0.025641586110977176,0,0,0
0.948,0.024463853974177434,0.024463853974177434,0.024463853974177434,0,0,0
0.95,0.023253993297723874,0.023253993297723874,0.023253993297723874,0,0,0
0.952,0.022054856421632508,0.022054856421632508,0.022054856421632508,0,0,0
0.954,0.020844995745178944,0.020844995745178944,0.020844995745178944,0,0,0
0.956,0.01961373032943376,0.01961373032943376,0.01961373032943376,0,0,0
0.958,0.018393161244846988,0.018393161244846988,0.018393161244846988,0,0,0
0.96,0.017172614517134387,0.017172614517134387,0.017172614517134387,0,0,0
0.962,0.015930630413356617,0.015930630413356617,0.015930630413356617,0,0,0
0.964,0.01469936499761143,0.01469936499761143,0.01469936499761143,0,0,0
0.966,0.013457403250707833,0.013457403250707833,0.013457403250707833,0,0,0
0.968,0.012226137834962647,0.012226137834962647,0.012226137834962647,0,0,0
0.97,0.010973440210722055,0.010973440210722055,0.010973440210722055,0,0,0
0.972,0.009710073724526836,0.009710073724526836,0.009710073724526836,0,0,0
0.974,0.00845737610028624,0.00845737610028624,0.00845737610028624,0,0,0
0.976,0.0071940096140910206,0.0071940096140910206,0.0071940096140910206,0,0,0
0.978,0.0059092109194003924,0.0059092109194003924,0.0059092109194003924,0,0,0
0.98,0.00463509712694291,0.00463509712694291,0.00463509712694291,0,0,0
0.981,0.003992697779597595,0.004110612540163163,0.004367324487965067,0,0,0
0.982,0.0033502984322522807,0.0036396295202230345,0.003854080692730274,0,0,0
0.983,0.0027078990849069666,0.0032973534377900944,0.0035546368789372016,0,0,0
0.984,0.0020654997375616525,0.003008144571772975,0.003212063886628339,0,0,0
0.985,0.0014231003902163385,0.002569147409481615,0.003094907829501086,0,0,0
0.986,0.0009093252992620421,0.0026878308730848904,0.0035443881145069043,0,0,0
0.987,0.0006635369425625284,0.0023336923952020387,0.0030732174892874253,0,0,0
0.988,0.0005243694871546894,0.002109289244353984,0.0030193044322355486,0,0,0
0.989,0.00025708116599317866,0.0018416077454505998,0.00308382421773762,0,0,0
0.99,0.00038521201028725424,0.00231305998769759,0.0032653952950464716,0,0,0
0.9902,0.00027814545239636856,0.0021952684804186122,0.003211957744943686,0,0,0
0.9904,0.00021399543562604424,0.0021629275175349657,0.003136911459903266,0,0,0
0.9906,0.00041749997891190867,0.0020665848152464257,0.0027513799988649634,0,0,0
0.9908,0.0004926027598274707,0.001927418335931398,0.002805331973394838,0,0,0
0.991,0.00039625488996916983,0.0019167512497090034,0.0027943608149774814,0,0,0
0.9912,0.00040679384678562374,0.0020874521027249284,0.0026551995032322146,0,0,0
0.9914,0.0002890309577363254,0.0019589808055424213,0.002794689197686293,0,0,0
0.9916,0.0004178363214234526,0.0020126945681403084,0.0026982731081795844,0,0,0
0.9918,0.00041768721234245745,0.001841354795432653,0.0026233299223727595,0,0,0
0.992,0.000546364219569557,0.001648464952870929,0.002505406752870652,0,0,0
0.9922,0.000460638847915281,0.0017446408923905716,0.0026550750372250796,0,0,0
0.9924,0.0003321223360080657,0.0018412259722281328,0.002719576269813974,0,0,0
0.9926,0.000289193809745727,0.0017877116583193318,0.0026877501595655036,0,0,0
0.9928,0.0002570124426724887,0.0015307071209111009,0.002409542303140016,0,0,0
0.993,0.0002034224648369242,0.001477202997764575,0.0023341536344914544,0,0,0
0.9932,0.0002999254289310014,0.00175577993210335,0.0022485427357558964,0,0,0
0.9934,0.0002356562726485623,0.001627303522591228,0.0022377024630862493,0,0,0
0.9936,0.0005241738440859309,0.001552194332545324,0.00222713909364761,0,0,0
0.9938,0.00043850511608163124,0.0015415666481242666,0.0023129945514101767,0,0,0
0.994,0.0005994556311672927,0.0014988500227721988,0.002066506945802568,0,0,0
0.9942,0.0004923495270978235,0.0013704812320139044,0.0019702226842394236,0,0,0
0.9944,0.0005243352742663024,0.0011562398155318212,0.002066405769374366,0,0,0
0.9946,0.0003958639770837955,0.0011240068805453488,0.001991599788189353,0,0,0
0.9948,0.0003745176046301531,0.0011775691129763996,0.0020557541587594742,0,0,0
0.995,0.0002674836835128158,0.0011347545068138578,0.0018844986859692086,0,0,0
0.9952,0.00031048565223346894,0.0009743679588198743,0.0017238558772198105,0,0,0
0.9954,0.00028897255430547313,0.0008459201675374315,0.0014559917634517738,0,0,0
0.9956,0.00019264296753733031,0.0010812741250759898,0.0013382008489821787,0,0,0
0.9958,0.00018207155491744767,0.000802868719429374,0.0015526331669330673,0,0,0
0.996,0.00019279016906261528,0.000588695575139927,0.0013706262375131886,0,0,0
0.9962,0.00016055917822472632,0.0009207203794713254,0.0014558879198189052,0,0,0
0.9964,0.00017138955879515336,0.0008243673420432638,0.0011671159152009088,0,0,0
0.9966,0.00026772479885973704,0.0008561581494326573,0.0012316125425300578,0,0,0
0.9968,0.00020343217327010725,0.0008669244207315634,0.0012525867854631771,0,0,0
0.997,0.00011773541984551072,0.0008453645499096219,0.0012419298900030573,0,0,0
0.9972,0.0002463539585437641,0.0005780468153957399,0.001070941687017173,0,0,0
0.9974,0.00027851856070562023,0.00041731631489142174,0.000910004800982039,0,0,0
0.9976,0.00018210197022254694,0.00042813293458784116,0.0009530096453141748,0,0,0
0.9978,0.0003316566133738216,0.00027843157224037357,0.0009313873704631135,0,0,0
0.998,0.00026750376098247613,0.00048178736034844305,0.0007280256230601798,0,0,0
0.9982,0.00019258523010160723,0.0005354001587399998,0.0007601644792062509,0,0,0
0.9984,0.00020341616958446102,0.0004390706272120023,0.0005567604784296044,0,0,0
0.9986,0.00022476689583790047,0.0005138983228976971,0.0005353092835543643,0,0,0
0.9988,0.000203416056408253,0.00036401833836952914,0.00048189623790678287,0,0,0
0.999,0.00028910251128620143,0.00016064225253288898,0.0003319934355185401,0,0,0
0.9992,0.00024616887269424717,0.00022494573558159381,1.0,0,0,5
0.9994,0.00021414634178245918,0.40009637028197265,1.0,0,2,5
0.9996,0.00012847244620839887,1.0,1.0,0,5,5
0.9998,9.636391013682039e-05,1.0,1.0,0,5,5
